student_id,school_year,season,assessment,subject,value_type,value,school,grade_num,source_file,year_confidence
2011693,2022-23,Fall,STAR,Reading,score,1051.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2022618,2022-23,Fall,STAR,Reading,score,1002.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2011122,2022-23,Fall,STAR,Reading,score,1065.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2021365,2022-23,Fall,STAR,Reading,score,975.0,Willard Middle School,7.0,base_data.xlsx,High
2015044,2022-23,Fall,STAR,Reading,score,1026.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2012736,2022-23,Fall,STAR,Reading,score,898.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2016502,2022-23,Fall,STAR,Reading,score,1019.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2020510,2022-23,Fall,STAR,Reading,score,995.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2021318,2022-23,Fall,STAR,Reading,score,1026.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2011402,2022-23,Fall,STAR,Reading,score,972.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2012941,2022-23,Fall,STAR,Reading,score,966.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2011806,2022-23,Fall,STAR,Reading,score,819.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2017038,2022-23,Fall,STAR,Reading,score,851.0,Washington Elementary School,5.0,base_data.xlsx,High
2022702,2022-23,Fall,STAR,Reading,score,886.0,Willard Middle School,8.0,base_data.xlsx,High
2017185,2022-23,Fall,STAR,Reading,score,991.0,Willard Middle School,8.0,base_data.xlsx,High
2009236,2022-23,Fall,STAR,Reading,score,1036.0,Berkeley High School,9.0,base_data.xlsx,High
2013126,2022-23,Fall,STAR,Reading,score,940.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2013239,2022-23,Fall,STAR,Reading,score,965.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2011129,2022-23,Fall,STAR,Reading,score,1026.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2018465,2022-23,Fall,STAR,Reading,score,794.0,Washington Elementary School,4.0,base_data.xlsx,High
2018281,2022-23,Fall,STAR,Reading,score,789.0,Oxford Elementary School,5.0,base_data.xlsx,High
2022299,2022-23,Fall,STAR,Reading,score,1040.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2012566,2022-23,Fall,STAR,Reading,score,1038.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2010498,2022-23,Fall,STAR,Reading,score,1003.0,Berkeley High School,9.0,base_data.xlsx,High
2009121,2022-23,Fall,STAR,Reading,score,940.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2018009,2022-23,Fall,STAR,Reading,score,832.0,John Muir Elementary School,4.0,base_data.xlsx,High
2022116,2022-23,Fall,STAR,Reading,score,941.0,John Muir Elementary School,4.0,base_data.xlsx,High
2013648,2022-23,Fall,STAR,Reading,score,991.0,Willard Middle School,7.0,base_data.xlsx,High
2016226,2022-23,Fall,STAR,Reading,score,816.0,John Muir Elementary School,5.0,base_data.xlsx,High
2014307,2022-23,Fall,STAR,Reading,score,989.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2016870,2022-23,Fall,STAR,Reading,score,838.0,Cragmont Elementary School,5.0,base_data.xlsx,High
2011977,2022-23,Fall,STAR,Reading,score,944.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2013394,2022-23,Fall,STAR,Reading,score,878.0,Longfellow Arts and Technology Middle,6.0,base_data.xlsx,High
2010008,2022-23,Fall,STAR,Reading,score,1058.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2010008,2022-23,Fall,STAR,Reading,score,1058.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2015291,2022-23,Fall,STAR,Reading,score,910.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2015589,2022-23,Fall,STAR,Reading,score,1022.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2012137,2022-23,Fall,STAR,Reading,score,914.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
2009098,2022-23,Fall,STAR,Reading,score,914.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2012242,2022-23,Fall,STAR,Reading,score,949.0,Willard Middle School,8.0,base_data.xlsx,High
2010945,2022-23,Fall,STAR,Reading,score,937.0,Willard Middle School,8.0,base_data.xlsx,High
2011071,2022-23,Fall,STAR,Reading,score,1052.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2011410,2022-23,Fall,STAR,Reading,score,1025.0,Longfellow Arts and Technology Middle,7.0,base_data.xlsx,High
2015042,2022-23,Fall,STAR,Reading,score,999.0,Martin Luther King Middle School,6.0,base_data.xlsx,High
2018560,2022-23,Fall,STAR,Reading,score,1112.0,Martin Luther King Middle School,8.0,base_data.xlsx,High
2021281,2022-23,Fall,STAR,Reading,score,1002.0,Longfellow Arts and Technology Middle,8.0,base_data.xlsx,High
2011736,2022-23,Fall,STAR,Reading,score,970.0,Martin Luther King Middle School,7.0,base_data.xlsx,High
