student_id,school_year,assessment,subject,score,school,grade_num,source_file,year_confidence,year_confidence_reason
2016402,2022-23,CAASPP,ELA,2382.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2016463,2022-23,CAASPP,ELA,2472.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2016502,2022-23,CAASPP,ELA,2456.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018515,2022-23,CAASPP,ELA,2523.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018460,2022-23,CAASPP,ELA,2597.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018582,2022-23,CAASPP,ELA,2386.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010731,2022-23,CAASPP,ELA,2490.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018731,2022-23,CAASPP,ELA,2669.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018773,2022-23,CAASPP,ELA,2390.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018858,2022-23,CAASPP,ELA,2560.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2018933,2022-23,CAASPP,ELA,2406.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2020510,2022-23,CAASPP,ELA,2411.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2020528,2022-23,CAASPP,ELA,2521.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2020556,2022-23,CAASPP,ELA,2382.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2021074,2022-23,CAASPP,ELA,2527.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2021072,2022-23,CAASPP,ELA,2271.0,Longfellow Arts and Technology Middle,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2021281,2022-23,CAASPP,ELA,2485.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2016395,2022-23,CAASPP,ELA,2593.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022369,2022-23,CAASPP,ELA,2543.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022466,2022-23,CAASPP,ELA,2607.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2020708,2022-23,CAASPP,ELA,2491.0,Longfellow Arts and Technology Middle,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022589,2022-23,CAASPP,ELA,2383.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2022452,2022-23,CAASPP,ELA,2442.0,Longfellow Arts and Technology Middle,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2009098,2022-23,CAASPP,ELA,2406.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2009121,2022-23,CAASPP,ELA,2329.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2009813,2022-23,CAASPP,ELA,2422.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010045,2022-23,CAASPP,ELA,2283.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010579,2022-23,CAASPP,ELA,2646.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010901,2022-23,CAASPP,ELA,2664.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010913,2022-23,CAASPP,ELA,2521.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010918,2022-23,CAASPP,ELA,2495.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010981,2022-23,CAASPP,ELA,2313.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2010991,2022-23,CAASPP,ELA,2453.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011071,2022-23,CAASPP,ELA,2530.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011124,2022-23,CAASPP,ELA,2562.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011154,2022-23,CAASPP,ELA,2560.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011187,2022-23,CAASPP,ELA,2559.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011370,2022-23,CAASPP,ELA,2569.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011402,2022-23,CAASPP,ELA,2260.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011412,2022-23,CAASPP,ELA,2506.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011482,2022-23,CAASPP,ELA,2564.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011692,2022-23,CAASPP,ELA,2525.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011693,2022-23,CAASPP,ELA,2376.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011708,2022-23,CAASPP,ELA,2489.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011736,2022-23,CAASPP,ELA,2457.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011761,2022-23,CAASPP,ELA,2362.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011777,2022-23,CAASPP,ELA,2339.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011780,2022-23,CAASPP,ELA,2554.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011846,2022-23,CAASPP,ELA,2647.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011874,2022-23,CAASPP,ELA,2509.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2011876,2022-23,CAASPP,ELA,2497.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012137,2022-23,CAASPP,ELA,2370.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012566,2022-23,CAASPP,ELA,2428.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012655,2022-23,CAASPP,ELA,2453.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012657,2022-23,CAASPP,ELA,2464.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2012864,2022-23,CAASPP,ELA,2520.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013098,2022-23,CAASPP,ELA,2654.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013126,2022-23,CAASPP,ELA,2426.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013135,2022-23,CAASPP,ELA,2455.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013207,2022-23,CAASPP,ELA,2353.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013329,2022-23,CAASPP,ELA,2393.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013389,2022-23,CAASPP,ELA,2514.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013390,2022-23,CAASPP,ELA,2496.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013415,2022-23,CAASPP,ELA,2498.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013479,2022-23,CAASPP,ELA,2480.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013573,2022-23,CAASPP,ELA,2337.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2013739,2022-23,CAASPP,ELA,2507.0,Martin Luther King Middle School,7,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014031,2022-23,CAASPP,ELA,2544.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014142,2022-23,CAASPP,ELA,2511.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014352,2022-23,CAASPP,ELA,2566.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014788,2022-23,CAASPP,ELA,2500.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2014877,2022-23,CAASPP,ELA,2404.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015020,2022-23,CAASPP,ELA,2431.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015040,2022-23,CAASPP,ELA,2391.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015042,2022-23,CAASPP,ELA,2494.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015058,2022-23,CAASPP,ELA,2511.0,Martin Luther King Middle School,8,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015291,2022-23,CAASPP,ELA,2354.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015374,2022-23,CAASPP,ELA,2449.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
2015467,2022-23,CAASPP,ELA,2608.0,Martin Luther King Middle School,6,CAASPP_corrected.xlsx,High,Columns explicitly identify 22-23 CAASPP.
